id,band_gap,formation_energy_per_atom,density,e_above_hull,energy,energy_per_atom,pretty_formula
mp-3799,1.0984,-3.358205387,6.747564434,0,-58.08598676,-9.680997793,GdSF
mp-12487,1.5476,-1.085341302,5.586796982,0,-44.70972302,-3.725810252,CsDyCdTe3
mp-541594,0,-0.67279676,4.635276412,0.000586928,-269.9532248,-6.135300563,Sc8Te3
mp-775132,2.5611,-2.8142945,3.322901134,0.003063818,-574.7558497,-7.184448122,NaLi3Fe4(SiO3)8
mp-9712,1.4668,-2.506450136,4.515954076,0,-101.1858972,-6.324118573,Ba3BPO3
mp-754249,1.9033,-2.378465234,4.94175546,0.02844911,-126.5772311,-6.661959531,Li3ZrNb(TeO6)2
mp-758115,4.0244,-2.571328091,3.271614985,0.020110356,-316.3430995,-6.590481239,Li2SnP2O7
mp-755009,3.6858,-3.878179889,4.801395316,0.05896788,-126.2161388,-5.73709722,Ba4OF6
mp-569482,0,-0.663323118,8.142183377,0.084077233,-47.55522193,-7.925870322,LaSi2Ru3
mp-32736,1.6228,-1.80585678,7.858953774,0.073841997,-229.0608362,-5.726520905,Er2Se3
mp-8675,0,-0.095557977,13.51802617,0.075201237,-22.69179342,-2.836474178,HgPd
mp-980063,0,0.11016566,8.48280373,0.11016566,-14.90450692,-3.72612673,YbDy3
mp-755364,0.2949,-2.730220252,6.548692364,0.03740492,-82.68668372,-6.890556977,NdSeO
mp-19113,2.1353,-1.442117479,6.302050185,0.045739338,-113.0729698,-5.653648488,CoTeO3
mp-753497,0,-1.591333767,2.413897594,0.08380356,-70.30727456,-5.021948183,Li3TiS3
mp-772777,4.1479,-2.632967013,2.720803864,0.01078251,-166.9276035,-6.420292443,K3SrPCO7
mp-558875,2.9145,-2.262901613,5.749174558,0,-214.459734,-5.957214833,HoTe2ClO5
mp-561117,2.4655,-1.43444901,2.932645409,0.089493113,-232.4932664,-4.151665471,SXeO3F2
mp-849412,2.0484,-2.756322161,2.825123352,0.025360991,-175.1954254,-5.839847512,V6O5F19
mp-2387,0,-0.148029657,10.8271832,0,-33.07344707,-5.512241178,Th2Zn
mp-772260,3.9595,-2.821651895,2.413211776,0.085153,-363.5924691,-6.733193873,Li10Ti4O13
mp-541044,2.8477,-2.965099962,5.560312443,0,-55.35200887,-6.919001109,CsYO2
mp-568944,0,-0.810169022,11.16673622,0,-47.89281273,-2.993300796,Yb5Au3
mp-557769,3.5377,-2.003722746,2.146358095,0.035975922,-544.8161496,-6.81020187,CaH2C2O5
mp-866076,0,-0.651399187,13.72882591,0.027354518,-34.38311442,-4.297889303,NdAu3
mp-999072,0,-0.008654105,4.742170876,0.285866188,-20.84980113,-5.212450283,Ti2AlZn
mp-571420,0,-0.653989857,4.990560088,0.000357866,-39.69821301,-5.671173287,Ba(NiP2)2
mp-30055,0.4098,-1.380593068,3.369878134,0.001627151,-15.80799272,-3.161598544,Rb3BrO
mp-569945,0,-0.198286364,9.205298931,0.004113259,-222.5054609,-5.855406866,Tb2Ni17
mp-28435,1.2965,-1.621907518,2.070629551,0,-97.26805682,-4.052835701,KFeCl4
mp-977189,0,-0.34425905,4.035838879,0.01376577,-9.29048571,-2.322621428,Na3Bi
mp-974981,0,0.207681982,1.712609758,0.209667609,-3.82320444,-0.95580111,Rb3Mg
mp-15257,0.3404,-1.878313259,7.360799634,0,-116.4599756,-5.822998782,Tb2Se3
mp-29796,4.31,-2.154116879,2.071643551,0,-196.0033593,-4.08340332,Ho(AlCl4)3
mp-1019110,0,-0.557826644,11.84364523,0.032340197,-26.7298452,-4.4549742,SmPbAu
mp-23339,4.4703,-1.016330863,3.159523928,0,-82.91326477,-4.145663239,NaBrO3
mp-21001,0,-0.654014322,8.010455854,0,-37.51498641,-7.502997282,Y(GeRu)2
mp-766236,3.234,-3.990232265,8.048746307,0.004995711,-410.2498131,-10.25624533,GdErO3
mp-975198,0,0.010237367,8.306164159,0.082256366,-8.07643051,-2.019107628,RbTl3
mp-866056,0.0656,-1.27105112,7.917737188,0,-29.24438956,-7.31109739,AcN
mp-5477,2.7379,-2.241060767,2.968381553,,-121.3634776,-5.51652171,Na5NbO5
mp-41732,1.0086,-3.240307921,6.316589254,0.061844917,-364.694002,-8.104311156,BaLa2TiCr2O9
mp-675028,0,-1.669474873,6.424830433,0.011902778,-127.8549624,-7.103053464,K(OsO3)2
mp-560768,3.98,-3.122620013,4.068446353,0.01366106,-953.8597735,-7.013674805,NaSr4(BO3)3
mp-734019,3.0835,-1.597666661,2.557094867,0.000309046,-205.5542822,-4.671688233,Na2Zn(HO)4
mp-3075,1.7633,-0.725335262,4.992839347,0,-134.558988,-4.204968373,TlGeS2
mp-34144,4.5901,-3.38263031,3.467073801,0.010093827,-298.1076855,-7.097802036,MgAl2O4
mp-10114,0,-0.575791079,12.6282778,0,-128.4889055,-8.030556591,ScB4Ir3
mp-2908,3.847,-3.037852626,4.453847872,0,-93.87932467,-6.705666048,Al2ZnO4
mp-771075,0.7571,-2.043670064,2.338363833,0.076255574,-157.5114448,-5.250381495,Li8MnO6
mp-4341,0,-0.660260645,5.716561075,0,-235.9794422,-6.940571828,Pr(P3Ru)4
mp-29579,0,-2.309655384,2.842580658,0,-113.519551,-5.675977549,Sc7NCl12
mp-21248,0,-0.845497477,11.48774651,0,-107.7551026,-8.979591885,NbSiIr
mp-20799,0,-0.449442259,11.16467516,0,-169.1073522,-8.455367611,Er2ReC2
mp-642646,5.2849,-1.816635875,2.770532493,0,-125.1835688,-5.690162217,BaP2(HO)4
mp-753472,2.8606,-3.208263072,4.158019266,0.03255204,-200.0659262,-8.336080258,NbAlO4
mp-23275,0,-2.027530208,2.510174947,0.027029716,-39.53760223,-4.942200279,TiCl3
mp-651268,0,-0.622686095,4.684753506,0.009437912,-83.8258247,-4.930930865,Fe2Cu6SnS8
mp-505216,0,-2.568193079,7.638847639,0.016266807,-209.0677711,-9.503080505,Gd2Ru2O7
mp-6219,4.3943,-0.274379514,1.709126769,0.09517389,-235.7974883,-7.368671509,K3Co(CN)6
mp-779364,1.4462,-2.207472601,3.335805976,0.062399619,-201.1836312,-6.286988475,Li2CoBO4
mp-1018041,0.0462,0.057770028,6.780127233,0.247143714,-27.47428219,-6.868570548,Ti2MnIn
mp-5380,1.2714,-1.779219612,2.574173746,0,-35.50972035,-5.072817193,Ca4P2O
mp-24034,2.8823,-0.293779056,1.594431516,0,-58.91063335,-2.945531668,K3AlH6
mp-961653,0.065,-0.306459035,10.40955179,0.034196256,-27.76415126,-9.254717087,FeSiW
mp-555447,4.9088,-3.113118395,2.745945704,0,-280.7125331,-7.797570365,NaScB2O5
mp-12355,3.8343,-3.614574714,6.205333338,0,-166.3903726,-8.31951863,Sr2YTaO6
mp-642831,5.4031,-2.23290369,2.782782824,0.005241925,-95.34938085,-5.959336303,RbP(HO2)2
mp-23084,2.0678,-1.689642607,7.836736662,0,-51.50922252,-5.150922252,BiPbClO2
mp-540946,4.0224,-2.335477222,4.631608086,0,-271.6221237,-7.545058992,LiReO4
mp-581990,0,-0.139239283,10.81884828,0.015263385,-78.39451943,-4.899657464,Bi3Rh
mp-569396,0,-0.428526799,3.534730621,0,-21.19438888,-3.02776984,BaLi2(MgGe)2
mp-7090,1.0498,-0.50488582,3.351197549,0,-17.16948033,-2.861580055,NaMgSb
mp-862431,0,-0.37691492,8.877307501,0,-28.21809829,-7.054524573,Sc2AgOs
mp-7223,0.7167,-1.168689428,3.200201778,0.005979798,-24.45064546,-4.890129092,Ca3AsN
mp-8989,1.4849,-2.357160506,3.312256995,0,-153.0907322,-6.378780509,Na2P2PdO7
mp-567600,0,-0.428685461,7.329397917,0,-23.36775789,-4.673551578,Sm(SiAg)2
mp-4034,0,-1.253330653,6.243924708,0,-39.42848763,-4.928560954,LaTe2Se
mp-12480,0,-1.246630612,9.381057888,0,-86.15620855,-7.179684046,ScPPt
mp-505296,0,-0.584395705,5.21917833,0,-54.49118855,-5.449118855,Ce2MgSi2
mp-566333,0,-2.054654997,4.38033355,0.068549855,-346.3385092,-6.660355947,Na3Fe2Mo5O16
mp-28030,3.2086,-2.642890494,3.396337642,0,-494.9708626,-6.512774508,Li8Nb2O9
mp-779362,3.1151,-2.467943982,3.174615779,0.004919029,-170.7040948,-7.112670617,Li2MnFe(BO3)2
